client_ID,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gender,marital_status,education_level,country,state,city,city_latitude,city_longitude,employment_type,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,open_accounts,credit_utilization_ratio,past_delinquencies
CUST_00001,22.0,59000,RENT,4.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,Male,Married,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,36,0.5932203389830508,8402.453849533113,0.7356348110090358,14,0.495556687418608,0
CUST_00002,21.0,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,Female,Divorced,Master,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.1041666666666666,1607.802794435836,0.2716461244203996,10,0.5854360215997556,3
CUST_00003,25.0,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,Female,Married,Master,UK,Wales,Swansea,51.6214,-3.9436,Full-time,36,0.5729166666666666,2760.505633222081,0.8604693367939668,14,0.7507318369907078,0
CUST_00004,23.0,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,Male,Married,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Part-time,12,0.5343511450381679,7155.286150089593,0.6435921549632,15,0.3793334268112993,0
CUST_00005,24.0,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,Female,Single,Bachelor,USA,New York,Buffalo,42.8864,-78.8784,Part-time,36,0.6433823529411765,15626.15343940794,0.9306278205773516,4,0.2281027070279239,0
CUST_00006,21.0,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,36,0.2525252525252525,2211.741133698582,0.4759334478483417,10,0.8270339994254745,0
CUST_00007,26.0,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,Female,Widowed,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,36,0.4539559014267185,21503.495721637,0.7328598666878988,15,0.1903369869402649,1
CUST_00008,24.0,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,Female,Single,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Self-employed,36,0.443284867521151,14338.76103118928,0.624889318496242,6,0.8500980049872046,0
CUST_00009,24.0,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,Female,Married,Master,USA,Texas,Dallas,32.7767,-96.797,Part-time,24,0.4216867469879518,22017.85960742288,0.686962163944854,10,0.8765322821262254,1
CUST_00010,21.0,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,Male,Single,Bachelor,UK,Scotland,Glasgow,55.8642,-4.2518,Part-time,24,0.16,1513.559984141728,0.3113559984141727,11,0.5866264970396673,0
CUST_00011,22.0,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,Female,Widowed,Master,UK,England,London,51.5074,-0.1278,Full-time,60,0.4117647058823529,18584.00917787057,0.6304001079749478,15,0.5898602750806032,1
CUST_00012,21.0,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Self-employed,60,0.45,2768.360554577107,0.7268360554577106,12,0.140976643858564,1
CUST_00013,23.0,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,Female,Divorced,High School,Canada,BC,Victoria,48.4284,-123.3656,Unemployed,12,0.3684210526315789,19816.97821981617,0.577020823366486,6,0.7025745353640311,2
CUST_00014,26.0,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,Male,Single,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Self-employed,36,0.323594674556213,25502.219510845,0.5593770295011558,14,0.4281051874129594,1
