person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,gender,marital_status,education_level,country,state,city,employment_type,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,open_accounts,credit_utilization_ratio,past_delinquencies,severe_default_history,vulnerable_borrower,est_monthly_payment,monthly_payment_to_income,stability_index,loan_grade_encoded,cb_person_default_on_file_encoded
22.0,59000,RENT,4.0,PERSONAL,35000,16.02,1,0.59,3,Male,Married,High School,Canada,Ontario,Toronto,Self-employed,36,0.5932203389830508,8402.453849533113,0.7356348110090358,14,0.495556687418608,0,1,1,1127.9722222222224,0.22941807909604522,12.0,4,1
21.0,9600,OWN,5.0,EDUCATION,1000,11.14,0,0.1,2,Female,Divorced,Master,Canada,Ontario,Toronto,Full-time,36,0.1041666666666666,1607.802794435836,0.2716461244203996,10,0.5854360215997556,3,1,0,30.87222222222222,0.03859027777777777,10.0,2,0
25.0,9600,MORTGAGE,1.0,MEDICAL,5500,12.87,1,0.57,3,Female,Married,Master,UK,Wales,Swansea,Full-time,36,0.5729166666666666,2760.505633222081,0.8604693367939668,14,0.7507318369907078,0,0,0,172.4402777777778,0.21555034722222224,3.0,3,0
23.0,65500,RENT,4.0,MEDICAL,35000,15.23,1,0.53,2,Male,Married,Bachelor,Canada,BC,Vancouver,Part-time,12,0.5343511450381679,7155.286150089593,0.6435921549632,15,0.3793334268112993,0,0,1,3360.8749999999995,0.6157328244274809,8.0,3,0
24.0,54400,RENT,8.0,MEDICAL,35000,14.27,1,0.55,4,Female,Single,Bachelor,USA,New York,Buffalo,Part-time,36,0.6433823529411765,15626.15343940794,0.9306278205773516,4,0.2281027070279239,0,1,1,1110.9583333333333,0.2450643382352941,32.0,3,1
21.0,9900,OWN,2.0,VENTURE,2500,7.14,1,0.25,2,Male,Single,High School,USA,California,San Francisco,Full-time,36,0.2525252525252525,2211.741133698582,0.4759334478483417,10,0.8270339994254745,0,0,0,74.40277777777777,0.09018518518518517,4.0,1,0
26.0,77100,RENT,8.0,EDUCATION,35000,12.42,1,0.45,3,Female,Widowed,High School,Canada,Ontario,Toronto,Self-employed,36,0.4539559014267185,21503.495721637,0.7328598666878988,15,0.1903369869402649,1,1,1,1092.9722222222222,0.17011240812797232,24.0,2,0
24.0,78956,RENT,5.0,MEDICAL,35000,11.11,1,0.44,4,Female,Single,High School,Canada,Quebec,Quebec City,Self-employed,36,0.443284867521151,14338.76103118928,0.624889318496242,6,0.8500980049872046,0,0,1,1080.236111111111,0.16417793876758363,20.0,2,0
24.0,83000,RENT,8.0,PERSONAL,35000,8.9,1,0.42,2,Female,Married,Master,USA,Texas,Dallas,Part-time,24,0.4216867469879518,22017.85960742288,0.686962163944854,10,0.8765322821262254,1,1,1,1588.125,0.22960843373493975,16.0,1,0
21.0,10000,OWN,6.0,VENTURE,1600,14.74,1,0.16,3,Male,Single,Bachelor,UK,Scotland,Glasgow,Part-time,24,0.16,1513.559984141728,0.3113559984141727,11,0.5866264970396673,0,0,0,76.49333333333333,0.09179199999999998,18.0,4,0
22.0,85000,RENT,6.0,VENTURE,35000,10.37,1,0.41,4,Female,Widowed,Master,UK,England,London,Full-time,60,0.4117647058823529,18584.00917787057,0.6304001079749478,15,0.5898602750806032,1,1,1,643.825,0.09089294117647059,24.0,2,0
21.0,10000,OWN,2.0,HOMEIMPROVEMENT,4500,8.63,1,0.45,2,Female,Single,Bachelor,Canada,Quebec,Montreal,Self-employed,60,0.45,2768.360554577107,0.7268360554577106,12,0.140976643858564,1,1,0,81.47250000000001,0.097767,4.0,1,0
23.0,95000,RENT,2.0,VENTURE,35000,7.9,1,0.37,2,Female,Divorced,High School,Canada,BC,Victoria,Unemployed,12,0.3684210526315789,19816.97821981617,0.577020823366486,6,0.7025745353640311,2,1,1,3147.0833333333335,0.39752631578947367,4.0,1,0
26.0,108160,RENT,4.0,EDUCATION,35000,18.39,1,0.32,4,Male,Single,Bachelor,USA,California,Los Angeles,Self-employed,36,0.323594674556213,25502.219510845,0.5593770295011558,14,0.4281051874129594,1,1,1,1151.013888888889,0.12770124506903352,16.0,5,0
