person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,cb_person_cred_hist_length,loan_term_months,other_debt,open_accounts,past_delinquencies,loan_percent_income,loan_to_income_ratio,debt_to_income_ratio,credit_utilization_ratio,severe_default_history,vulnerable_borrower,monthly_payment_to_income,log_person_income,log_loan_amnt,log_other_debt,cb_person_default_on_file,gender,loan_grade_enc,education_level_enc,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,marital_status_Married,marital_status_Single,marital_status_Widowed,country_UK,country_USA,employment_type_Part-time,employment_type_Self-employed,employment_type_Unemployed,loan_status
22.0,59000,4.0,35000,16.02,3,36,8402.453849533113,14,0,0.59,0.5932203389830508,0.7356348110090358,0.495556687418608,1,1,0.22941807909604522,10.985309671896763,10.463131911491967,9.036398072886596,1,1,4,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,1
21.0,9600,5.0,1000,11.14,2,36,1607.802794435836,10,3,0.1,0.1041666666666666,0.2716461244203996,0.5854360215997556,1,0,0.03859027777777777,9.169622538697624,6.90875477931522,7.383245575426002,0,0,2,3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
25.0,9600,1.0,5500,12.87,3,36,2760.505633222081,14,0,0.57,0.5729166666666666,0.8604693367939668,0.7507318369907078,0,0,0.21555034722222224,9.169622538697624,8.612685172875459,7.923531329253006,0,0,3,3,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,1
23.0,65500,4.0,35000,15.23,2,12,7155.286150089593,15,0,0.53,0.5343511450381679,0.6435921549632,0.3793334268112993,0,1,0.6157328244274809,11.089820688682373,10.463131911491967,8.875746431264796,0,1,3,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,1
24.0,54400,8.0,35000,14.27,4,36,15626.15343940794,4,0,0.55,0.6433823529411765,0.9306278205773516,0.2281027070279239,1,1,0.2450643382352941,10.904137815028022,10.463131911491967,9.65676528523039,1,0,3,2,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,1
21.0,9900,2.0,2500,7.14,2,36,2211.741133698582,10,0,0.25,0.2525252525252525,0.4759334478483417,0.8270339994254745,0,0,0.09018518518518517,9.200391041122515,7.824445930877619,7.701987357925844,0,1,1,1,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1
26.0,77100,8.0,35000,12.42,3,36,21503.495721637,15,1,0.45,0.4539559014267185,0.7328598666878988,0.1903369869402649,1,1,0.17011240812797232,11.252871529635922,10.463131911491967,9.976017295588653,0,0,2,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,1
24.0,78956,5.0,35000,11.11,4,36,14338.76103118928,6,0,0.44,0.443284867521151,0.624889318496242,0.8500980049872046,0,1,0.16417793876758363,11.276658679464603,10.463131911491967,9.570791449523075,0,0,2,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,1
24.0,83000,8.0,35000,8.9,2,24,22017.85960742288,10,1,0.42,0.4216867469879518,0.686962163944854,0.8765322821262254,1,1,0.22960843373493975,11.326607934898927,10.463131911491967,9.999654619990205,0,0,1,3,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,1
21.0,10000,6.0,1600,14.74,3,24,1513.559984141728,11,0,0.16,0.16,0.3113559984141727,0.5866264970396673,0,0,0.09179199999999998,9.210440366976517,7.3783837129967145,7.322880236247336,0,1,4,2,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,1
22.0,85000,6.0,35000,10.37,4,60,18584.00917787057,15,1,0.41,0.4117647058823529,0.6304001079749478,0.5898602750806032,1,1,0.09089294117647059,11.350418300109132,10.463131911491967,9.830110576563383,0,0,2,3,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,1
21.0,10000,2.0,4500,8.63,2,60,2768.360554577107,12,1,0.45,0.45,0.7268360554577106,0.140976643858564,1,0,0.097767,9.210440366976517,8.412054873292933,7.926371725809112,0,0,1,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1
23.0,95000,2.0,35000,7.9,2,12,19816.97821981617,6,2,0.37,0.3684210526315789,0.577020823366486,0.7025745353640311,1,1,0.39752631578947367,11.461642696843066,10.463131911491967,9.894344795608056,0,0,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1
26.0,108160,4.0,35000,18.39,4,36,25502.219510845,14,1,0.32,0.323594674556213,0.5593770295011558,0.4281051874129594,1,1,0.12770124506903352,11.591376136796182,10.463131911491967,10.14655997850424,0,1,5,2,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,1
23.0,115000,2.0,35000,7.9,4,36,23157.14946119038,5,0,0.3,0.3043478260869565,0.5057143431407859,0.1952505065153492,0,1,0.10946376811594202,11.652696102959753,10.463131911491967,10.050102026128004,0,1,1,1,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,0
23.0,500000,7.0,30000,10.65,3,12,83241.02509954454,9,1,0.06,0.06,0.226482050199089,0.080297671455903,1,0,0.06639,13.122365377402328,10.308985993422082,11.329507608654028,0,0,2,2,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0
23.0,120000,0.0,35000,7.9,4,60,14264.43764338812,10,0,0.29,0.2916666666666667,0.4105369803615676,0.3623553359277756,0,1,0.06294166666666666,11.695255355062795,10.463131911491967,9.56559494269947,0,1,1,1,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,0
23.0,92111,7.0,35000,20.25,4,36,21845.17042190759,8,0,0.32,0.3799763329026935,0.617137697147003,0.3012899522804002,0,1,0.152307180105163,11.430760506915592,10.463131911491967,9.991780918430809,0,0,6,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,1
23.0,113000,8.0,35000,18.25,4,36,5971.362008889456,11,1,0.31,0.3097345132743362,0.3625784248574288,0.8804390390660709,1,0,0.12208702064896759,11.635151947212842,10.463131911491967,8.6948977745194,0,1,4,2,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,1
24.0,10800,8.0,1750,10.99,2,12,1517.058751146031,10,0,0.16,0.162037037037037,0.3025054399209287,0.5421641385200198,0,0,0.1798449074074074,9.287394001418473,7.467942332285852,7.325187660201384,0,1,2,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,1
25.0,162500,2.0,35000,7.49,4,24,17757.11799752072,10,2,0.22,0.2153846153846154,0.3246591876770506,0.860019111384049,1,0,0.11575846153846155,11.998439434579149,10.463131911491967,9.784598042323024,0,1,1,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
25.0,137000,9.0,34800,16.77,2,60,18184.53911989021,13,0,0.25,0.2540145985401459,0.3867484607291257,0.5987117464458184,1,0,0.05932256934306569,11.827743504053695,10.457401400981889,9.808382003387484,1,0,5,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0
22.0,65000,4.0,34000,17.58,4,60,13008.72815299168,14,1,0.52,0.5230769230769231,0.7232112023537182,0.6885465952638489,1,1,0.12300676923076921,11.082157933374816,10.434145214930487,9.473452676053167,0,1,4,2,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,1
24.0,10980,0.0,1500,7.29,3,36,2916.7018068647,8,0,0.14,0.1366120218579235,0.4022497091862203,0.226736175549487,0,0,0.04885701275045537,9.303921785597714,7.313886831633462,7.978551532930347,0,0,1,2,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0
22.0,80000,3.0,33950,14.54,4,36,12357.3573090364,9,1,0.42,0.424375,0.578841966362955,0.1626193295152604,1,1,0.162026375,11.289794413577894,10.432673587634051,9.422087818379545,1,0,4,2,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,1
24.0,67746,8.0,33000,12.68,3,60,10275.66866927372,4,0,0.49,0.4871136303250376,0.6387929718252549,0.1604130615956353,0,1,0.10977592773005049,11.123535457318734,10.404293143019792,9.237631427081388,0,1,3,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,1
21.0,11000,3.0,4575,17.74,3,36,2129.216929725541,14,0,0.42,0.4159090909090909,0.6094742663386855,0.8146596455893729,1,0,0.16323045454545454,9.305741456739435,8.428580533059634,7.663979098459196,1,0,5,2,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,1
23.0,11000,0.0,1400,9.32,3,36,1089.418699357973,9,1,0.13,0.1272727272727272,0.2263107908507248,0.8036785195849488,1,0,0.046378181818181825,9.305741456739435,7.244941546337007,6.994317029316326,0,0,1,1,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,0
24.0,65000,6.0,32500,9.99,3,24,6983.784375389229,14,0,0.5,0.5,0.6074428365444497,0.9469747494821268,0,1,0.274975,11.082157933374816,10.389026137075234,8.851489401549477,0,0,2,1,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,1
21.0,11389,5.0,4000,12.84,2,24,1945.330054873518,5,0,0.35,0.3512160856967249,0.522023887511943,0.7516126769098473,1,0,0.19815611555009222,9.340491056441229,8.294299608857235,7.573700855185264,1,1,3,1,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,1
21.0,11520,5.0,2000,11.12,3,36,1827.634737613389,4,0,0.17,0.1736111111111111,0.3322599598622733,0.3261426475005607,0,0,0.06430555555555556,9.351926736038054,7.601402334583733,7.511324922385385,0,1,2,3,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,1
25.0,120000,2.0,32000,6.62,2,60,11274.35787671161,1,0,0.27,0.2666666666666666,0.3606196489725968,0.6323590697059401,0,0,0.056864,11.695255355062795,10.373522431293592,9.330374904595455,0,1,1,1,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,0
26.0,95000,7.0,31050,14.17,3,24,11548.38464353857,3,1,0.33,0.3268421052631579,0.4484040488793533,0.7290549038518578,1,1,0.18657781578947366,11.461642696843066,10.343386292962181,9.354387436914928,1,1,3,2,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,1
25.0,306000,2.0,24250,13.85,3,36,80018.58415223043,9,0,0.08,0.0792483660130718,0.3407470070334327,0.7006330054489065,0,0,0.030074754901960786,12.631343648903034,10.096213132628804,11.290026685599802,0,0,3,1,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,0
26.0,300000,10.0,7800,13.49,4,36,57353.14643830458,9,0,0.03,0.026,0.2171771547943486,0.7934822701411939,0,0,0.009835799999999999,12.611541086966115,8.962007209588313,10.95700042052468,0,1,3,1,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,0
21.0,12000,5.0,2500,7.51,4,60,957.7560358027528,11,1,0.21,0.2083333333333333,0.288146336316896,0.6761238972982021,1,0,0.04479583333333333,9.392745258631441,7.824445930877619,6.865636648153439,0,0,1,1,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,1
22.0,48000,1.0,30000,18.39,2,60,13531.14491633967,7,1,0.63,0.625,0.9068988524237432,0.0860434595756154,1,1,0.14798750000000002,10.778977123006351,10.308985993422082,9.512823239002262,0,1,5,2,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,1
24.0,64000,8.0,30000,14.54,3,60,18066.1951193459,1,1,0.47,0.46875,0.7510342987397796,0.7567895377896292,1,1,0.10738125000000001,11.06665398721974,10.308985993422082,9.801853148480147,1,0,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
25.0,75000,4.0,30000,16.89,4,36,12013.34339675576,4,1,0.4,0.4,0.5601779119567434,0.8186212631467,1,1,0.15585333333333334,11.225256725762893,10.308985993422082,9.393856498051042,1,0,4,1,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,1
23.0,71500,3.0,30000,15.31,4,60,10969.32042449119,3,1,0.42,0.4195804195804196,0.5729974884544222,0.6332119858473515,1,1,0.09676363636363636,11.177466714598282,10.308985993422082,9.302948762003243,0,1,4,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,1
26.0,62050,6.0,30000,17.99,2,36,14168.08855655508,10,0,0.41,0.48348106365834,0.7118144811693002,0.7371392371516857,0,1,0.19015310233682514,11.035711906538346,10.308985993422082,9.558818008566227,0,0,5,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,1
24.0,12000,4.0,2500,12.69,3,36,3439.120914381777,15,1,0.21,0.2083333333333333,0.4949267428651481,0.4728106189031163,1,0,0.07825694444444445,9.392745258631441,7.824445930877619,8.1432618992793,0,1,2,2,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,1
26.0,300000,10.0,20000,7.88,4,24,76506.53568786141,8,1,0.07,0.0666666666666666,0.3216884522928713,0.898014794914579,1,0,0.03596,12.611541086966115,9.90353755128617,11.245144520686935,0,0,1,1,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,0
23.0,300000,1.0,24250,19.41,2,12,30304.0053870736,3,0,0.08,0.0808333333333333,0.1818466846235786,0.567247432000761,1,0,0.09652308333333333,12.611541086966115,10.096213132628804,10.319068172147244,1,0,6,3,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,0
26.0,300000,9.0,10000,10.38,4,60,82483.87641530957,10,1,0.03,0.0333333333333333,0.3082795880510319,0.1263889069489235,1,0,0.007358666666666668,12.611541086966115,9.210440366976517,11.320370239340242,0,1,2,3,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0
26.0,300000,0.0,25000,15.33,3,24,80410.30679522056,14,0,0.08,0.0833333333333333,0.3513676893174018,0.3583151303803229,0,0,0.04805416666666667,12.611541086966115,10.12667110305036,11.294910077060687,0,0,4,2,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0
25.0,300000,9.0,18000,16.45,3,12,56336.23986506725,8,1,0.06,0.06,0.2477874662168908,0.9258180160178736,1,0,0.06986999999999999,12.611541086966115,9.798182590890704,10.939111049549899,0,1,5,2,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,0
26.0,80690,8.0,30000,7.49,3,36,21629.75523243489,12,1,0.37,0.3717932829346883,0.639853206499379,0.8179190956791063,1,1,0.1332135332754988,11.29838232387519,10.308985993422082,9.981871434307731,0,1,1,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1
22.0,66300,4.0,30000,12.69,3,36,15791.82222826089,12,0,0.38,0.4524886877828054,0.690676051708309,0.1162207865563327,0,1,0.16996983408748115,11.101960259016467,10.308985993422082,9.667310826443812,0,0,2,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,1
26.0,89028,0.0,30000,6.62,3,36,16421.42317619619,2,0,0.34,0.3369726378218088,0.5214249806375094,0.8539456593498851,0,1,0.11976007548187087,11.396717438335704,10.308985993422082,9.706402946795338,0,1,1,1,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,1
24.0,78000,4.0,30000,15.31,4,24,12106.04903899422,7,0,0.38,0.3846153846153846,0.5398211415255669,0.5234376585953892,1,1,0.22175,11.264476926102367,10.308985993422082,9.401543127165732,1,0,4,3,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
23.0,78000,7.0,30000,18.62,3,24,9921.279468457977,7,0,0.38,0.3846153846153846,0.5118112752366406,0.4783919752798909,1,1,0.2281153846153846,11.264476926102367,10.308985993422082,9.202537959009172,1,1,6,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1
23.0,92004,6.0,30000,15.23,3,12,19401.20152570798,5,1,0.33,0.3260727794443719,0.5369462363126384,0.4228617283997513,1,1,0.37573366375374984,11.429598202380475,10.308985993422082,9.873141819319567,1,0,3,2,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,1
23.0,97000,7.0,30000,10.65,2,24,7328.235301890285,9,1,0.31,0.3092783505154639,0.3848271680607246,0.5060185554023945,1,0,0.1711082474226804,11.48247656671073,10.308985993422082,8.899626465003365,0,0,2,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1
25.0,120000,9.0,30000,7.9,4,36,15007.29465279855,11,0,0.25,0.25,0.3750607887733212,0.8901055979430409,0,0,0.08991666666666666,11.695255355062795,10.308985993422082,9.616358304102224,0,0,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0
26.0,280000,4.0,10000,15.96,3,36,41379.21436384378,2,1,0.04,0.0357142857142857,0.1834971941565849,0.7759269034368733,1,0,0.013804761904761905,12.54254845357358,9.210440366976517,10.630558131659335,1,1,3,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0
26.0,277104,0.0,20000,11.48,3,60,77101.2517072836,7,0,0.07,0.0721750678445637,0.3504144714882629,0.1056075859428544,0,0,0.01609215312662394,12.532151774715706,9.90353755128617,11.252887764148095,0,1,2,1,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,0
23.0,277000,3.0,35000,7.49,4,36,73129.33064223344,4,0,0.13,0.1263537906137184,0.390358594376294,0.4543164380752383,0,0,0.04527256317689531,12.531776395271262,10.463131911491967,11.19999847954882,0,1,1,2,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,0
25.0,128000,9.0,30000,7.29,4,36,21438.41717915149,10,0,0.23,0.234375,0.401862634212121,0.4937972505882463,0,1,0.08382031250000001,11.759793355371237,10.308985993422082,9.972986431007019,0,1,1,4,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,0
24.0,12000,2.0,1750,16.82,3,36,2467.213395726133,1,1,0.15,0.1458333333333333,0.3514344496438444,0.6470439190256573,1,0,0.056787500000000005,9.392745258631441,7.467942332285852,7.811249846330396,1,1,5,2,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
21.0,131000,0.0,30000,5.99,4,12,34431.39021782759,7,1,0.23,0.2290076335877862,0.4918426734185312,0.5057181660869797,1,1,0.2427251908396947,11.782960235741939,10.308985993422082,10.446752976456413,0,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
22.0,275000,6.0,12000,11.58,2,36,76162.28593086316,2,0,0.04,0.0436363636363636,0.3205901306576842,0.8210003489010801,0,0,0.01622981818181818,12.524530013005734,9.392745258631441,11.240634813635143,0,0,2,2,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,0
26.0,263000,0.0,10000,10.99,4,60,63598.54871046478,13,0,0.04,0.0380228136882129,0.2798423905340866,0.944370005804322,0,0,0.008440304182509507,12.479913113434042,9.210440366976517,11.06036165355563,0,0,2,2,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1
25.0,221850,9.0,25000,15.7,2,60,57661.70226300666,9,1,0.1,0.1126887536623845,0.3726017681451731,0.7936832654605138,1,0,0.02607617759747577,12.309761264347044,10.12667110305036,10.962365835564354,0,1,4,2,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,1
